artist.familiarity,artist.hotttnesss,artist.name,artist.terms,song.hotttnesss,song.tempo,song.loudness,song.duration,song.year
0.651045661,0.401723686,Gob,pop punk,0.604500739,129.738,-4.501,209.60608,2007
0.426667857,0.332275747,Planet P Project,new wave,0.265861049,86.643,-13.496,269.81832,1984
0.636423645,0.447935481,Blue Rodeo,country rock,0.405115722,119.826,-8.576,491.12771,1987
0.707199764,0.51346329,Tesla,hard rock,0.684136191,150.062,-5.271,290.29832,2004
0.839962768,0.541888972,The Dillinger Escape Plan,math-core,0.666527846,166.862,-4.264,207.77751,2004
0.435415818,0.306242264,SUE THOMPSON,pop rock,0.495293621,137.522,-12.332,124.86485,1985
0.396455254,0.299230368,Faye Adams,jump blues,0.0,95.957,-18.051,156.39465,1961
0.706827671,0.416173065,Terry Callier,soul jazz,0.413739836,110.189,-11.939,342.56934,1972
0.640807102,0.418216518,The Shangri-Las,doo-wop,0.443291312,130.1,-10.922,164.80608,1964
0.523714637,0.384611084,Billie Jo Spears,classic country,0.0,160.839,-9.983,133.32853,1992
0.527865076,0.393121934,Scarlet's Remains,gothic metal,0.450992312,115.061,-7.469,198.73914,2007
0.668674533,0.467538444,The Suicide Machines,ska punk,0.528782481,115.887,-2.022,95.68608,2003
0.661080168,0.442765842,Loudon Wainwright III,modern rock,0.510119314,102.428,-15.663,190.48444,1995
0.701180874,0.466628889,R.L. Burnside,delta blues,0.482137585,89.984,-6.944,277.78567,2004
0.665322162,0.394217199,Casiotone For The Painfully Alone,trip hop,0.785892288,141.919,-10.93,175.72526,2006
0.717670525,0.479308459,The New York Dolls,glam rock,0.561692411,154.953,-9.253,344.05832,1974
0.669726188,0.427914247,Eliane Elias,brazilian jazz,0.43483809,86.091,-12.009,251.42812,2009
0.569741152,0.412240601,Lost Boyz,gangster rap,0.405115722,90.218,-11.043,269.7922,1997
0.643182773,0.500691341,Chris Rea,soft rock,0.767727748,180.149,-8.531,241.162,1986
0.411421048,0.338414819,Perrey And Kingsley,easy listening,0.43483809,102.538,-8.541,122.64444,1966
0.75100762,0.523699078,Eurythmics,dance rock,0.38293509,84.164,-6.629,207.0722,1985
0.54858513,0.383524247,Francis Dunnery,singer-songwriter,0.610474258,124.175,-13.33,300.79955,1995
0.749317801,0.481655862,John Cale,experimental rock,0.226555314,137.004,-12.412,228.46649,1997
0.668370612,0.45755391,The Berzerker,speedcore,0.0,174.287,-6.222,165.61587,2000
0.845768866,0.788805935,Kings Of Leon,southern rock,0.685940227,116.823,-5.907,187.92444,2003
0.778816717,0.554291489,NOFX,punk,0.671236027,152.622,-7.787,144.50893,1992
0.711165787,0.466826993,Soda Stereo,rock,0.62616576,112.903,-9.603,246.69995,1990
0.443162398,0.30045446,Bruce Rowland,easy listening,0.0,115.642,-26.266,84.03546,1985
0.400433514,0.266275286,Xcultures,gabba,0.199238262,125.013,-6.305,273.52771,2000
0.617870116,0.36366811,Heavy D / McGruff,pop rap,0.237733942,96.979,-9.161,161.38404,1997
0.845601887,1.005941966,Black Eyed Peas,hip hop,0.624425493,105.206,-4.882,229.61587,2004
0.905776889,0.598458501,Nine Inch Nails,industrial metal,0.635536649,63.017,-12.951,426.89261,2000
0.562463784,0.322485106,Smartbomb,melodic hardcore,0.0,132.022,-2.658,233.27302,2001
0.481004583,0.335651839,Suburbs,british pop,0.249065795,183.92,-4.42,187.24526,2005
0.449323615,0.343281882,T.G. Sheppard,country rock,0.382723281,82.343,-15.581,194.11546,2002
0.798645179,0.552413346,Queens Of The Stone Age,stoner metal,0.725121284,115.606,-8.165,288.41751,2005
0.605109702,0.398547535,Inspiral Carpets,indie rock,0.665172241,113.677,-8.7,283.76771,1990
0.743129776,0.493566843,Redman,hip hop,0.57010593,85.008,-10.296,124.18567,2001
0.430538907,0.316354001,Kai Winding,hard bop,0.0,112.006,-14.438,223.4771,1961
0.559278494,0.432011947,The Brooklyn Tabernacle Choir,gospel,0.405115722,216.195,-11.829,324.44036,1995
0.541975108,0.384184259,Carl Cox Vs Yousef,tech house,0.511254835,130.016,-5.701,357.82485,1991
